places,address,link,user,star,creat_date,comment
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Huy Nguyễn,5.0,2024-04-01,"The restaurant is beautifully decorated, the food is delicious, and the staff is attentive."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hélène Trương,1.0,2025-04-01,"Extremely bad experience. When 8 people ordered meat, they brought out exactly 1 plate with 1 rib. Sitting and waiting tirelessly. Hot food is also slow, everything is slow, coming back from eating feels very disappointing."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Sang Ngọc,1.0,2024-04-01,"Food preparation is very slow, service attitude is not good"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Thien Luong,5.0,2024-04-01,"Enthusiastic staff, thoughtful advice, many dishes to choose from"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Văn Khôi Trần,5.0,2025-04-01,"The food is quite good. Damn, the menu is 269k but there are so many dishes. Enthusiastic, fast service..."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hun Fi,5.0,2025-04-01,"I visited the restaurant this afternoon. Even though it was crowded, the service staff was still very good. I felt so sorry for everyone. I promised to visit again."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Quan Nguyen,5.0,2024-04-01,"Delicious meat, filling, polite and attentive staff."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",tu hao pham,5.0,2025-04-01,"Dedicated and cheerful staff, diverse dishes, will definitely come back again"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Diin Anh,5.0,2025-04-01,"Dedicated staff, delicious food, definitely come back when the opportunity arises"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Khải Lưu,5.0,2025-04-01,I've been back many times and the restaurant is still very attentive. Now the director has gone to a table with 8 people and is still very satisfied with the service
