places,address,link,user,star,creat_date,comment
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Mark Wilber (LoudMusic),5.0,2025-04-01,This is the main shopping mall in town. They have a food court upstairs and a nice movie theater on the top floor. You can also find Western style pizza restaurants and other things from Western cuisine on the food court floor. Also there's a kids area up stairs where they can play in a ball pit and rent kids activities.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",griizzlerhops,4.0,2025-04-01,"Theres an Okay selection of food, there isnt much vietnamese food tho which is okay. My only complaint is the parking which is God awful, it's hard to park in a tiny space available. The Arcade,CGV,Kids play area, and trampoline park in the top floor is what makes this mall real cool. Had a great time here, Shopping is okay but the floor with all the play Features is what takes the cake. Had a great time here."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",john “Optionworld 2000” smith,4.0,2025-04-01,"Clean, fun and safe. But it is only servicing any foods from other countries but Vietnamese. Some Western foods are together with rice for customer. For example, Korean or Japanese buffers, and fried chicken or hamburger with choices in rice. Places for children, women and business outfits. Market stuff for everything to everyone. Highly recomended, from shopping to household things, as well as different foods for unique tasks, looks and funs. Thus, best choices in diffirent cultures, foods and travels."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Kris Taylor,5.0,2024-11-01,"Great for coop shopping, sells everything"
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Như Võ,4.0,2025-04-01,"A non- luxury mall with many stores for foods, clothes, restaurants and a cinema. There is also a beer club in the first floor. The supermarket market can be very crowded and it's a long queue for check out in peak time."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Kim Ng,4.0,2025-04-01,"Mall à 3 étages : ground level with food market, several stands for cosmetics, luggages, shoes and clothes. The 1st floor is dedicated to clothes and the upper level of the market (essentially dishes, more clothes, detergents, soaps...). The 2nd floor has restaurants, buffets, a Jollibee and Lotteria (fried chicken fast foods), a Tocotoco (bubbleteas) and a bookstore. The last floor has a cinema.  If you buy stuffs inside, you can have them delivered at your place."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nicolas Devos,5.0,2025-01-01,Very good Japanese food
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nghiem Dang,5.0,2025-04-01,Nice place for a night walk
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Thái Hòa Trung,4.0,2025-04-01,"Good place for general shopping and other activities as reading books, playing games, watching movies, various of food and beverage options.  There are minor issues as the walkways around the places are not well designed, stores so far don't have good marketing strategies so stores closing and new one opening are common here."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Robert Chase,5.0,2025-04-01,Very nice shopping center.  Has some good eateries as well.  Kids loved Jump and running around on the trampolines
