places,address,link,user,star,creat_date,comment
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Mieu Tac,3.0,2025-04-01,Nice place to watch football at weekend
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Anders Barris (Learn Magic with Andres),5.0,2025-04-01,My favorite cafe in Vietnam
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Tuấn Vũ Nguyễn,4.0,2025-04-01,Good menu
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Nghia Nguyen,4.0,2025-04-01,Ok!
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Trung Nhân Lê,4.0,2025-04-01,Good
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Thanh Nguyen van,4.0,2025-04-01,Very good! 👍 …
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Dr Murtaza Bharmal,4.0,2025-04-01,Cofee at its best
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Quốc Duy Trần,5.0,2025-04-01,Quite cafe in the bustling city
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Jasmine Pham,3.0,2025-04-01,Temporary accept.
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",rus m,5.0,2024-04-01,Amazing coffee
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Phước Liêu,4.0,2025-04-01,Good for relax
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Nguyễn Đại Phong,3.0,2025-04-01,So very good
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Hoa Nguyen,1.0,2025-04-01,Too expensive
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",QUỐC BẢO PHAN,4.0,2025-04-01,Delicious cafe.
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",ThoMinh CuuLong,3.0,2025-04-01,Good coffee
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Bui Van Thanh,4.0,2025-04-01,Good place
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Richard Phùng,5.0,2025-04-01,Coffee with friend
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",phuong nguyen ngoc,5.0,2025-04-01,Ok
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",NGOCANHDOOR Cửa cuốn cửa kéo,5.0,2025-04-01,Good
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Bằng Giang Trần,5.0,2025-04-01,Ok
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Nguyen Long Son,5.0,2025-04-01,Good place
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",LINH KIỆN HOÀNG LONG,4.0,2025-04-01,Ok
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Lãng Tử Boy Gaming,5.0,2025-04-01,Ok
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",VINA GAME,5.0,2025-04-01,Good
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Ngoc Hieu Nguyen,1.0,2025-04-01,Ok
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",dole minh,5.0,2025-04-01,Ok
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Khánh Phạm,5.0,2025-04-01,Good
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Qui Nguyen,3.0,2025-04-01,Good
Trung_Nguyên_Legend_Café,"40 Đ. Lý Thường Kiệt, Phường 6, Quận 10, Hồ Chí Minh 760000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+Caf%C3%A9/@10.7592459,106.6615209,17z/data=!4m6!3m5!1s0x31752eee2c955b75:0x729148180da034a6!8m2!3d10.7592459!4d106.6615209!16s%2Fg%2F11b63fs4_t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Nguyen Hoanglam,5.0,2025-04-01,Good
